ProductID,ProductName,ProductDescription,ProductPrice,ProductCost,ProductWeight,ProductDimensions,ProductColor,ProductSize,ProductGroupID,StockQuantity
1,Laptop,"15.6"" HD Laptop with Intel Core i5 Processor, 8GB RAM, and 512GB SSD",799.99,599.99,4.2,14"" x 10"" x 1"",Silver,15.6,201,150
2,Smartphone,"6.5"" Full HD Smartphone with Snapdragon Processor, 128GB Storage, and Quad Camera",699.99,499.99,0.4,6.2"" x 3"" x 0.3"",Black,6.5,202,100
3,Tablet,"10.2"" Tablet with Retina Display, 64GB Storage, and Apple Pencil Support",499.99,399.99,0.5,9.8"" x 7.5"" x 0.3"",Space Gray,10.2,203,120
4,Smartwatch,"Waterproof Smartwatch with Heart Rate Monitor, GPS, and Fitness Tracker",199.99,149.99,0.1,1.5"" x 1.5"" x 0.5"",Black,1.3,204,200
5,Wireless Headphones,"Bluetooth Wireless Headphones with Noise Cancellation and 30-Hour Battery Life",149.99,99.99,0.3,7"" x 6"" x 2"",Black,One Size,205,180
6,Wireless Mouse,"Ergonomic Wireless Mouse with Silent Click and USB Receiver",29.99,19.99,0.1,4"" x 2.5"" x 1"",Gray,One Size,206,250
7,External Hard Drive,"2TB Portable External Hard Drive with USB 3.0 Connectivity",79.99,59.99,0.5,4.5"" x 3"" x 0.5"",Black,2TB,207,80
8,Printer,"Wireless All-in-One Printer with Scanner, Copier, and AirPrint",149.99,129.99,11.5,17"" x 12"" x 6"",White,One Size,208,60
9,Portable Charger,"20000mAh Portable Charger with Power Delivery and Quick Charge 3.0",49.99,39.99,0.4,5"" x 3"" x 0.8"",Black,One Size,209,150
10,USB Flash Drive,"128GB USB 3.0 Flash Drive with High-Speed Data Transfer",24.99,14.99,0.02,2"" x 0.8"" x 0.3"",Silver,128GB,210,300
11,Wireless Keyboard,"Slim Wireless Keyboard with Quiet Typing and Long Battery Life",39.99,29.99,0.5,14"" x 5"" x 0.5"",Black,One Size,206,200
12,Bluetooth Speaker,"Portable Bluetooth Speaker with 20W Stereo Sound and Built-in Microphone",79.99,49.99,0.8,7"" x 3"" x 3"",Blue,One Size,211,180
13,Monitor,"27"" Full HD Monitor with IPS Panel and Thin Bezel Design",299.99,249.99,12,24"" x 15"" x 2"",Black,27,212,90
14,Wireless Router,"Dual-Band Wireless Router with Gigabit Ethernet Ports and MU-MIMO Technology",129.99,99.99,0.5,10"" x 7"" x 2"",Black,One Size,213,120
15,Smart Thermostat,"Smart Thermostat with Wi-Fi Connectivity and Energy-Saving Features",199.99,159.99,0.3,4"" x 4"" x 1"",White,One Size,214,70
16,Security Camera,"Indoor/Outdoor Security Camera with 1080p HD Video and Night Vision",149.99,119.99,0.4,5"" x 3"" x 3"",Black,One Size,215,100
