SaleID,SaleDate,CustomerID,ProductID,Quantity,SaleAmount,Discount,Tax,TotalAmount,SalesRepresentative
1,2023-06-10,5,8,3,150.25,15.25,13.50,148.50,Rep_3
2,2023-03-18,7,3,2,100.75,10.75,8.00,98.00,Rep_1
3,2023-11-22,2,1,4,200.40,20.40,18.00,198.00,Rep_2
4,2023-05-15,9,7,1,250.00,25.00,20.00,245.00,Rep_4
5,2023-01-12,4,6,2,175.90,17.90,14.00,172.00,Rep_2
6,2023-08-25,8,2,5,300.50,30.50,25.00,295.00,Rep_3
7,2023-09-30,3,4,3,225.75,22.75,18.00,221.00,Rep_1
8,2023-07-21,6,5,2,180.80,18.80,15.00,177.00,Rep_4
9,2023-02-14,1,9,4,275.30,27.30,22.00,270.00,Rep_5
10,2023-04-16,10,10,3,160.45,16.45,13.00,157.00,Rep_3
11,2023-12-01,2,6,1,210.90,21.90,17.00,206.00,Rep_1
12,2023-11-11,5,2,4,190.60,19.60,16.00,187.00,Rep_4
13,2023-10-05,7,8,2,220.75,22.75,19.00,217.00,Rep_2
14,2023-01-25,9,3,5,130.20,13.20,11.00,128.00,Rep_3
15,2023-06-02,1,7,3,250.90,25.90,21.00,246.00,Rep_5
16,2023-03-09,6,1,1,170.80,17.80,14.00,167.00,Rep_1
17,2023-08-18,4,10,4,185.25,18.25,15.00,182.00,Rep_2
18,2023-09-27,8,5,2,195.40,19.40,16.00,192.00,Rep_4
19,2023-07-04,3,9,5,205.75,20.75,17.00,202.00,Rep_1
20,2023-02-20,10,4,1,140.60,14.60,12.00,138.00,Rep_5
21,2023-05-05,2,3,3,175.85,17.85,14.00,173.00,Rep_3
22,2023-12-12,5,5,2,190.40,19.40,16.00,187.00,Rep_1
23,2023-11-01,7,9,4,225.70,22.70,18.00,221.00,Rep_2
24,2023-08-09,9,6,3,190.25,19.25,16.00,187.00,Rep_4
25,2023-04-28,4,8,2,225.75,22.75,18.00,221.00,Rep_2
26,2023-01-07,8,10,5,160.35,16.35,13.00,157.00,Rep_3
27,2023-09-18,3,2,1,210.80,21.80,17.00,206.00,Rep_1
28,2023-07-15,6,3,4,180.60,18.60,15.00,177.00,Rep_4
29,2023-02-28,1,7,3,250.90,25.90,21.00,246.00,Rep_5
30,2023-04-09,10,1,1,170.80,17.80,14.00,167.00,Rep_3
31,2023-12-19,2,5,4,195.40,19.40,16.00,192.00,Rep_1
32,2023-11-14,5,10,2,160.45,16.45,13.00,157.00,Rep_4
33,2023-10-02,7,6,5,300.50,30.50,25.00,295.00,Rep_2
34,2023-01-22,9,2,2,200.50,20.50,18.00,198.00,Rep_3
35,2023-06-12,4,3,5,175.85,17.85,14.00,173.00,Rep_2
36,2023-03-25,8,8,1,220.75,22.75,19.00,217.00,Rep_3
37,2023-08-06,3,1,4,200.40,20.40,18.00,198.00,Rep_1
38,2023-09-22,6,7,3,225.75,22.75,18.00,221.00,Rep_4
39,2023-07-03,1,4,2,150.40,15.40,13.00,148.00,Rep_5
40,2023-02-15,10,9,5,275.30,27.30,22.00,270.00,Rep_3
41,2023-05-25,2,10,2,160.35,16.35,13.00,157.00,Rep_3
42,2023-12-06,5,4,3,195.45,19.45,16.00,192.00,Rep_1
43,2023-11-16,7,7,4,225.00,22.00,18.00,221.00,Rep_2
44,2023-08-30,9,3,2,100.75,10.75,8.00,98.00,Rep_4
45,2023-04-19,4,9,5,275.50,27.50,22.00,270.00,Rep_2
46,2023-01-15,8,5,2,195.40,19.40,16.00,192.00,Rep_3
47,2023-09-08,3,2,1,210.80,21.80,17.00,206.00,Rep_1
48,2023-07-29,6,6,3,190.25,19.25,16.00,187.00,Rep_4
49,2023-02-22,1,8,2,220.75,22.75,19.00,217.00,Rep_5
50,2023-04-25,10,1,1,170.80,17.80,14.00,167.00,Rep_3
51,2023-12-02,2,3,3,175.85,17.85,14.00,173.00,Rep_3
52,2023-11-24,5,5,2,190.40,19.40,16.00,187.00,Rep_1
53,2023-08-15,7,9,4,225.70,22.70,18.00,221.00,Rep_2
54,2023-04-11,9,6,3,190.25,19.25,16.00,187.00,Rep_4
