ProductGroupID,ProductGroupName,ProductGroupDescription,ProductCategory,ProductSubCategory,GroupManager,GroupCreationDate,GroupStatus,NumberOfProducts,GroupBudget
1,Laptops,High-performance and portable computers,Electronics,Computing,John Doe,2022-01-15,Active,50,500000
2,Smartphones,Latest models with advanced features,Electronics,Mobile Devices,Jane Smith,2021-11-10,Active,80,400000
3,Tablets,Portable touch-screen devices,Electronics,Mobile Devices,Emily Johnson,2020-05-22,Active,40,250000
4,Smartwatches,Advanced wearable technology,Electronics,Wearables,Michael Brown,2019-08-13,Active,30,150000
5,Headphones,High-quality audio devices,Electronics,Audio,Chris Wilson,2021-02-19,Active,60,200000
6,Computer Accessories,Peripherals for computers and laptops,Electronics,Computing,Patricia Taylor,2018-07-25,Active,70,100000
7,Storage Devices,External and internal storage solutions,Electronics,Computing,Andrew Moore,2017-03-12,Active,35,120000
8,Printers,Printing and scanning devices,Electronics,Office Equipment,Linda Martinez,2020-11-01,Active,20,90000
9,Chargers,Portable charging solutions,Electronics,Accessories,Kevin Lee,2019-12-30,Active,40,80000
10,USB Devices,High-speed USB storage and peripherals,Electronics,Accessories,Susan White,2021-04-17,Active,50,60000
11,Speakers,Portable and home audio solutions,Electronics,Audio,David Harris,2022-06-05,Active,25,150000
12,Monitors,High-resolution computer displays,Electronics,Computing,Daniel Clark,2020-09-18,Active,45,350000
13,Networking Equipment,High-speed networking devices,Electronics,Networking,Nancy Lewis,2021-03-14,Active,30,220000
14,Smart Home Devices,Connected home automation devices,Electronics,Home Automation,George Walker,2018-10-22,Active,20,300000
15,Security Systems,Advanced security and surveillance devices,Electronics,Home Security,Betty Young,2019-05-11,Active,25,180000
16,Gaming Consoles,Latest gaming hardware,Electronics,Entertainment,Matthew King,2020-02-09,Active,15,450000
17,Health & Fitness Devices,Tech for health monitoring,Electronics,Fitness,Elizabeth Scott,2021-07-21,Active,30,130000
18,Earbuds,Compact and wireless audio devices,Electronics,Audio,Paul Green,2022-08-16,Active,40,110000
19,Home Appliances,Smart and connected home appliances,Electronics,Home Appliances,Jessica Adams,2019-11-29,Active,10,500000
20,Camera Equipment,Digital and video cameras,Electronics,Photography,Thomas Baker,2021-05-25,Active,20,250000
21,Smart Speakers,Voice-controlled smart speakers,Electronics,Audio,Michelle Thompson,2023-02-28,Active,25,180000
22,External Hard Drives,Portable storage for data backup,Electronics,Computing,Richard Davis,2022-09-10,Active,30,150000
23,Wireless Keyboards,Bluetooth-enabled computer keyboards,Electronics,Computing,Emma Wilson,2023-04-05,Active,40,200000
24,Action Cameras,Compact and rugged cameras for action shots,Electronics,Photography,Christopher Moore,2022-12-15,Active,35,250000
25,Smart Thermostats,Energy-efficient home temperature control,Electronics,Home Automation,Megan Adams,2023-01-20,Active,20,120000
26,Virtual Reality Headsets,Immersive VR experiences,Electronics,Virtual Reality,William Turner,2022-11-05,Active,30,300000
27,Smart Lighting,Connected and automated home lighting,Electronics,Home Automation,Ava Cooper,2023-03-12,Active,40,180000
28,Wireless Earphones,Compact and wireless audio devices,Electronics,Audio,Noah Walker,2023-05-01,Active,50,220000
29,Gaming Accessories,Peripherals and accessories for gaming,Electronics,Entertainment,Ella Scott,2022-10-18,Active,40,200000
30,Home Security Cameras,Surveillance cameras for home protection,Electronics,Home Security,Oliver Baker,2023-06-08,Active,30,250000
