AccessID,AccessDate,CustomerID,AccessCategory,PageViewed,Duration,DeviceType,BrowserType,ReferrerURL,Geolocation,InteractionType
1,2023-01-15,101,Product Page,Laptop,300,Desktop,Chrome,www.google.com,USA,Click
2,2023-01-16,102,Checkout,Smartphone,180,Mobile,Safari,www.example.com,Canada,Purchase
3,2023-01-17,103,Homepage,Tablet,120,Tablet,Firefox,www.bing.com,UK,Click
4,2023-01-18,104,Product Page,Smartwatch,240,Desktop,Edge,www.yahoo.com,Australia,Click
5,2023-01-19,105,Support Page,Headphones,180,Mobile,Chrome,www.google.com,India,Click
6,2023-01-20,106,Product Page,Mouse,300,Desktop,Chrome,www.example.com,USA,Click
7,2023-01-21,107,Cart,Hard Drive,150,Tablet,Safari,www.bing.com,Canada,Add to Cart
8,2023-01-22,108,Product Page,Printer,210,Mobile,Firefox,www.yahoo.com,UK,Click
9,2023-01-23,109,Checkout,Charger,180,Desktop,Edge,www.google.com,Australia,Purchase
10,2023-01-24,110,Homepage,USB Drive,120,Mobile,Chrome,www.example.com,India,Click
11,2023-01-25,101,Product Page,Keyboard,300,Tablet,Safari,www.bing.com,USA,Click
12,2023-01-26,102,Support Page,Speaker,180,Desktop,Firefox,www.yahoo.com,Canada,Click
13,2023-01-27,103,Product Page,Monitor,240,Mobile,Edge,www.google.com,UK,Click
14,2023-01-28,104,Cart,Router,150,Desktop,Chrome,www.example.com,Australia,Add to Cart
15,2023-01-29,105,Product Page,Thermostat,210,Mobile,Safari,www.bing.com,India,Click
16,2023-01-30,106,Checkout,Security Camera,180,Tablet,Firefox,www.yahoo.com,USA,Purchase
17,2023-01-31,107,Homepage,Gaming Console,120,Desktop,Edge,www.google.com,Canada,Click
18,2023-02-01,108,Product Page,Electric Toothbrush,300,Mobile,Chrome,www.example.com,UK,Click
19,2023-02-02,109,Support Page,Wireless Earbuds,180,Desktop,Safari,www.bing.com,Australia,Click
20,2023-02-03,110,Product Page,Robot Vacuum,240,Mobile,Firefox,www.yahoo.com,India,Click
21,2023-02-13,106,Cart,Gaming Mouse,150,Desktop,Chrome,www.example.com,USA,Add to Cart
22,2023-02-14,107,Product Page,Fitness Tracker,210,Mobile,Safari,www.bing.com,Canada,Click
23,2023-02-15,108,Checkout,Smart TV,180,Mobile,Firefox,www.yahoo.com,UK,Purchase
24,2023-02-16,109,Homepage,Bluetooth Speaker,120,Tablet,Chrome,www.google.com,India,Click
25,2023-02-17,110,Product Page,Wireless Mouse,240,Desktop,Edge,www.example.com,Australia,Click
26,2023-02-18,101,Cart,External Hard Drive,180,Mobile,Safari,www.bing.com,USA,Add to Cart
27,2023-02-19,102,Product Page,Bluetooth Headphones,300,Tablet,Firefox,www.yahoo.com,Canada,Click
28,2023-02-20,103,Support Page,Printer Ink Cartridges,150,Desktop,Chrome,www.google.com,UK,Click
29,2023-02-21,104,Product Page,Smart Thermostat,210,Mobile,Safari,www.example.com,India,Click
30,2023-02-22,105,Checkout,Digital Camera,180,Desktop,Edge,www.bing.com,Australia,Purchase
31,2023-02-23,106,Homepage,Wireless Keyboard,120,Mobile,Chrome,www.yahoo.com,USA,Click
32,2023-02-24,107,Product Page,USB Flash Drive,300,Tablet,Safari,www.google.com,Canada,Click
33,2023-02-25,108,Cart,Tablet Stand,150,Desktop,Firefox,www.example.com,UK,Add to Cart
34,2023-02-26,109,Product Page,Bluetooth Earbuds,240,Mobile,Chrome,www.bing.com,India,Click
35,2023-02-27,110,Checkout,Smart Doorbell,180,Tablet,Safari,www.yahoo.com,USA,Purchase
36,2023-02-28,101,Homepage,Wireless Router,120,Desktop,Edge,www.google.com,Canada,Click
37,2023-03-01,102,Product Page,Smart Scale,300,Mobile,Firefox,www.example.com,UK,Click
38,2023-03-02,103,Support Page,USB-C Cable,150,Desktop,Chrome,www.bing.com,Australia,Click
39,2023-03-03,104,Product Page,Wireless Charger,210,Mobile,Safari,www.yahoo.com,India,Click
40,2023-03-04,105,Cart,Portable Bluetooth Speaker,180,Tablet,Firefox,www.google.com,USA,Add to Cart
41,2023-03-05,106,Product Page,Wireless Gaming Headset,240,Desktop,Edge,www.example.com,Canada,Click
42,2023-03-06,107,Checkout,Smartwatch,180,Mobile,Safari,www.bing.com,Canada,Purchase
43,2023-03-07,108,Homepage,Laptop Stand,120,Tablet,Firefox,www.yahoo.com,UK,Click
44,2023-03-08,109,Product Page,Wireless Keyboard and Mouse Combo,240,Mobile,Chrome,www.google.com,India,Click
45,2023-03-09,110,Support Page,External SSD,150,Desktop,Edge,www.example.com,Australia,Click
46,2023-03-10,101,Product Page,Wireless Earphones,300,Tablet,Safari,www.bing.com,USA,Click
47,2023-03-11,102,Cart,Bluetooth Car Kit,180,Mobile,Firefox,www.yahoo.com,Canada,Add to Cart
48,2023-03-12,103,Product Page,Smart Home Security System,210,Mobile,Safari,www.google.com,UK,Click
49,2023-03-13,104,Checkout,Portable Monitor,180,Desktop,Chrome,www.example.com,Australia,Purchase
50,2023-03-14,105,Homepage,Bluetooth Mouse,120,Mobile,Edge,www.bing.com,India,Click
